model_id,context_limit,output_limit,name,description
qwen/qwen3-32b,40960,40960,Qwen: Qwen3 32B,"Qwen3-32B is a dense 32.8B parameter causal language model from the Qwen3 series, optimized for both"
qwen/qwen3-235b-a22b:free,40960,,Qwen: Qwen3 235B A22B (free),"Qwen3-235B-A22B is a 235B parameter mixture-of-experts (MoE) model developed by Qwen, activating 22B"
qwen/qwen3-235b-a22b,40960,40960,Qwen: Qwen3 235B A22B,"Qwen3-235B-A22B is a 235B parameter mixture-of-experts (MoE) model developed by Qwen, activating 22B"
tngtech/deepseek-r1t-chimera:free,163840,,TNG: DeepSeek R1T Chimera (free),"DeepSeek-R1T-Chimera is created by merging DeepSeek-R1 and DeepSeek-V3 (0324), combining the reasoni"
tngtech/deepseek-r1t-chimera,163840,163840,TNG: DeepSeek R1T Chimera,"DeepSeek-R1T-Chimera is created by merging DeepSeek-R1 and DeepSeek-V3 (0324), combining the reasoni"
microsoft/mai-ds-r1:free,163840,,Microsoft: MAI DS R1 (free),MAI-DS-R1 is a post-trained variant of DeepSeek-R1 developed by the Microsoft AI team to improve the
microsoft/mai-ds-r1,163840,163840,Microsoft: MAI DS R1,MAI-DS-R1 is a post-trained variant of DeepSeek-R1 developed by the Microsoft AI team to improve the
openai/o4-mini-high,200000,100000,OpenAI: o4 Mini High,OpenAI o4-mini-high is the same model as [o4-mini](/openai/o4-mini) with reasoning_effort set to hig
openai/o3,200000,100000,OpenAI: o3,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, co"
openai/o4-mini,200000,100000,OpenAI: o4 Mini,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient perf"
qwen/qwen2.5-coder-7b-instruct,32768,,Qwen: Qwen2.5 Coder 7B Instruct,Qwen2.5-Coder-7B-Instruct is a 7B parameter instruction-tuned language model optimized for code-rela
openai/gpt-4.1,1047576,32768,OpenAI: GPT-4.1,"GPT-4.1 is a flagship large language model optimized for advanced instruction following, real-world "
openai/gpt-4.1-mini,1047576,32768,OpenAI: GPT-4.1 Mini,GPT-4.1 Mini is a mid-sized model delivering performance competitive with GPT-4o at substantially lo
openai/gpt-4.1-nano,1047576,32768,OpenAI: GPT-4.1 Nano,"For tasks that demand low latency, GPT‑4.1 nano is the fastest and cheapest model in the GPT-4.1 ser"
eleutherai/llemma_7b,4096,4096,EleutherAI: Llemma 7b,"Llemma 7B is a language model for mathematics. It was initialized with Code Llama 7B weights, and tr"
alfredpros/codellama-7b-instruct-solidity,4096,4096,AlfredPros: CodeLLaMa 7B Instruct Solidity,A finetuned 7 billion parameters Code LLaMA - Instruct model to generate Solidity smart contract usi
arliai/qwq-32b-arliai-rpr-v1:free,32768,,ArliAI: QwQ 32B RpR v1 (free),QwQ-32B-ArliAI-RpR-v1 is a 32B parameter model fine-tuned from Qwen/QwQ-32B using a curated creative
arliai/qwq-32b-arliai-rpr-v1,32768,32768,ArliAI: QwQ 32B RpR v1,QwQ-32B-ArliAI-RpR-v1 is a 32B parameter model fine-tuned from Qwen/QwQ-32B using a curated creative
agentica-org/deepcoder-14b-preview:free,96000,,Agentica: Deepcoder 14B Preview (free),DeepCoder-14B-Preview is a 14B parameter code generation model fine-tuned from DeepSeek-R1-Distill-Q
agentica-org/deepcoder-14b-preview,96000,,Agentica: Deepcoder 14B Preview,DeepCoder-14B-Preview is a 14B parameter code generation model fine-tuned from DeepSeek-R1-Distill-Q
x-ai/grok-3-mini-beta,131072,,xAI: Grok 3 Mini Beta,"Grok 3 Mini is a lightweight, smaller thinking model. Unlike traditional models that generate answer"
x-ai/grok-3-beta,131072,,xAI: Grok 3 Beta,Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases l
nvidia/llama-3.1-nemotron-ultra-253b-v1,131072,,NVIDIA: Llama 3.1 Nemotron Ultra 253B v1,"Llama-3.1-Nemotron-Ultra-253B-v1 is a large language model (LLM) optimized for advanced reasoning, h"
meta-llama/llama-4-maverick,1048576,16384,Meta: Llama 4 Maverick,"Llama 4 Maverick 17B Instruct (128E) is a high-capacity multimodal language model from Meta, built o"
meta-llama/llama-4-scout,327680,16384,Meta: Llama 4 Scout,"Llama 4 Scout 17B Instruct (16E) is a mixture-of-experts (MoE) language model developed by Meta, act"
qwen/qwen2.5-vl-32b-instruct:free,16384,,Qwen: Qwen2.5 VL 32B Instruct (free),Qwen2.5-VL-32B is a multimodal vision-language model fine-tuned through reinforcement learning for e
qwen/qwen2.5-vl-32b-instruct,16384,16384,Qwen: Qwen2.5 VL 32B Instruct,Qwen2.5-VL-32B is a multimodal vision-language model fine-tuned through reinforcement learning for e
deepseek/deepseek-chat-v3-0324:free,163840,,DeepSeek: DeepSeek V3 0324 (free),"DeepSeek V3, a 685B-parameter, mixture-of-experts model, is the latest iteration of the flagship cha"
deepseek/deepseek-chat-v3-0324,163840,163840,DeepSeek: DeepSeek V3 0324,"DeepSeek V3, a 685B-parameter, mixture-of-experts model, is the latest iteration of the flagship cha"
openai/o1-pro,200000,100000,OpenAI: o1-pro,The o1 series of models are trained with reinforcement learning to think before they answer and perf
mistralai/mistral-small-3.1-24b-instruct:free,96000,96000,Mistral: Mistral Small 3.1 24B (free),"Mistral Small 3.1 24B Instruct is an upgraded variant of Mistral Small 3 (2501), featuring 24 billio"
mistralai/mistral-small-3.1-24b-instruct,131072,131072,Mistral: Mistral Small 3.1 24B,"Mistral Small 3.1 24B Instruct is an upgraded variant of Mistral Small 3 (2501), featuring 24 billio"
allenai/olmo-2-0325-32b-instruct,4096,4096,AllenAI: Olmo 2 32B Instruct,OLMo-2 32B Instruct is a supervised instruction-finetuned variant of the OLMo-2 32B March 2025 base 
google/gemma-3-4b-it:free,32768,8192,Google: Gemma 3 4B (free),"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
google/gemma-3-4b-it,96000,,Google: Gemma 3 4B,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
google/gemma-3-12b-it:free,32768,8192,Google: Gemma 3 12B (free),"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
google/gemma-3-12b-it,131072,131072,Google: Gemma 3 12B,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
cohere/command-a,256000,8192,Cohere: Command A,Command A is an open-weights 111B parameter model with a 256k context window focused on delivering g
openai/gpt-4o-mini-search-preview,128000,16384,OpenAI: GPT-4o-mini Search Preview,GPT-4o mini Search Preview is a specialized model for web search in Chat Completions. It is trained 
openai/gpt-4o-search-preview,128000,16384,OpenAI: GPT-4o Search Preview,GPT-4o Search Previewis a specialized model for web search in Chat Completions. It is trained to und
google/gemma-3-27b-it:free,131072,,Google: Gemma 3 27B (free),"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
google/gemma-3-27b-it,131072,16384,Google: Gemma 3 27B,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles cont"
thedrummer/skyfall-36b-v2,32768,32768,TheDrummer: Skyfall 36B V2,"Skyfall 36B v2 is an enhanced iteration of Mistral Small 2501, specifically fine-tuned for improved "
microsoft/phi-4-multimodal-instruct,131072,,Microsoft: Phi 4 Multimodal Instruct,Phi-4 Multimodal Instruct is a versatile 5.6B parameter foundation model that combines advanced reas
perplexity/sonar-reasoning-pro,128000,,Perplexity: Sonar Reasoning Pro,Note: Sonar Pro pricing includes Perplexity search pricing. See [details here](https://docs.perplexi
perplexity/sonar-pro,200000,8000,Perplexity: Sonar Pro,Note: Sonar Pro pricing includes Perplexity search pricing. See [details here](https://docs.perplexi
perplexity/sonar-deep-research,128000,,Perplexity: Sonar Deep Research,"Sonar Deep Research is a research-focused model designed for multi-step retrieval, synthesis, and re"
qwen/qwq-32b,32768,,Qwen: QwQ 32B,"QwQ is the reasoning model of the Qwen series. Compared with conventional instruction-tuned models, "
google/gemini-2.0-flash-lite-001,1048576,8192,Google: Gemini 2.0 Flash Lite,Gemini 2.0 Flash Lite offers a significantly faster time to first token (TTFT) compared to [Gemini F
anthropic/claude-3.7-sonnet:thinking,200000,64000,Anthropic: Claude 3.7 Sonnet (thinking),"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-s"
anthropic/claude-3.7-sonnet,200000,64000,Anthropic: Claude 3.7 Sonnet,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-s"
mistralai/mistral-saba,32768,,Mistral: Saba,Mistral Saba is a 24B-parameter language model specifically designed for the Middle East and South A
meta-llama/llama-guard-3-8b,131072,,Llama Guard 3 8B,"Llama Guard 3 is a Llama-3.1-8B pretrained model, fine-tuned for content safety classification. Simi"
openai/o3-mini-high,200000,100000,OpenAI: o3 Mini High,OpenAI o3-mini-high is the same model as [o3-mini](/openai/o3-mini) with reasoning_effort set to hig
google/gemini-2.0-flash-001,1048576,8192,Google: Gemini 2.0 Flash,Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 
qwen/qwen-vl-plus,7500,1500,Qwen: Qwen VL Plus,Qwen's Enhanced Large Visual Language Model. Significantly upgraded for detailed recognition capabil
aion-labs/aion-1.0,131072,32768,AionLabs: Aion-1.0,"Aion-1.0 is a multi-model system designed for high performance across various tasks, including reaso"
aion-labs/aion-1.0-mini,131072,32768,AionLabs: Aion-1.0-Mini,"Aion-1.0-Mini 32B parameter model is a distilled version of the DeepSeek-R1 model, designed for stro"
aion-labs/aion-rp-llama-3.1-8b,32768,32768,AionLabs: Aion-RP 1.0 (8B),Aion-RP-Llama-3.1-8B ranks the highest in the character evaluation portion of the RPBench-Auto bench
qwen/qwen-vl-max,131072,8192,Qwen: Qwen VL Max,Qwen VL Max is a visual understanding model with 7500 tokens context length. It excels in delivering
qwen/qwen-turbo,1000000,8192,Qwen: Qwen-Turbo,"Qwen-Turbo, based on Qwen2.5, is a 1M context model that provides fast speed and low cost, suitable "
qwen/qwen2.5-vl-72b-instruct,32768,32768,Qwen: Qwen2.5 VL 72B Instruct,"Qwen2.5-VL is proficient in recognizing common objects such as flowers, birds, fish, and insects. It"
qwen/qwen-plus,131072,8192,Qwen: Qwen-Plus,"Qwen-Plus, based on the Qwen2.5 foundation model, is a 131K context model with a balanced performanc"
qwen/qwen-max,32768,8192,Qwen: Qwen-Max ,"Qwen-Max, based on Qwen2.5, provides the best inference performance among [Qwen models](/qwen), espe"
openai/o3-mini,200000,100000,OpenAI: o3 Mini,"OpenAI o3-mini is a cost-efficient language model optimized for STEM reasoning tasks, particularly e"
mistralai/mistral-small-24b-instruct-2501:free,32768,,Mistral: Mistral Small 3 (free),Mistral Small 3 is a 24B-parameter language model optimized for low-latency performance across commo
mistralai/mistral-small-24b-instruct-2501,32768,16384,Mistral: Mistral Small 3,Mistral Small 3 is a 24B-parameter language model optimized for low-latency performance across commo
deepseek/deepseek-r1-distill-qwen-32b,131072,,DeepSeek: R1 Distill Qwen 32B,DeepSeek R1 Distill Qwen 32B is a distilled large language model based on [Qwen 2.5 32B](https://hug
deepseek/deepseek-r1-distill-qwen-14b,32768,16384,DeepSeek: R1 Distill Qwen 14B,DeepSeek R1 Distill Qwen 14B is a distilled large language model based on [Qwen 2.5 14B](https://hug
perplexity/sonar-reasoning,127000,,Perplexity: Sonar Reasoning,Sonar Reasoning is a reasoning model provided by Perplexity based on [DeepSeek R1](/deepseek/deepsee
perplexity/sonar,127072,,Perplexity: Sonar,"Sonar is lightweight, affordable, fast, and simple to use — now featuring citations and the ability "
deepseek/deepseek-r1-distill-llama-70b:free,8192,4096,DeepSeek: R1 Distill Llama 70B (free),DeepSeek R1 Distill Llama 70B is a distilled large language model based on [Llama-3.3-70B-Instruct](
deepseek/deepseek-r1-distill-llama-70b,131072,131072,DeepSeek: R1 Distill Llama 70B,DeepSeek R1 Distill Llama 70B is a distilled large language model based on [Llama-3.3-70B-Instruct](
deepseek/deepseek-r1:free,163840,,DeepSeek: R1 (free),"DeepSeek R1 is here: Performance on par with [OpenAI o1](/openai/o1), but open-sourced and with full"
deepseek/deepseek-r1,163840,,DeepSeek: R1,"DeepSeek R1 is here: Performance on par with [OpenAI o1](/openai/o1), but open-sourced and with full"
minimax/minimax-01,1000192,1000192,MiniMax: MiniMax-01,MiniMax-01 is a combines MiniMax-Text-01 for text generation and MiniMax-VL-01 for image understandi
mistralai/codestral-2501,256000,,Mistral: Codestral 2501,[Mistral](/mistralai)'s cutting-edge language model for coding. Codestral specializes in low-latency
microsoft/phi-4,16384,,Microsoft: Phi 4,[Microsoft Research](/microsoft) Phi-4 is designed to perform well in complex reasoning tasks and ca
sao10k/l3.1-70b-hanami-x1,16000,,Sao10K: Llama 3.1 70B Hanami x1,This is [Sao10K](/sao10k)'s experiment over [Euryale v2.2](/sao10k/l3.1-euryale-70b).
deepseek/deepseek-chat,163840,163840,DeepSeek: DeepSeek V3,"DeepSeek-V3 is the latest model from the DeepSeek team, building upon the instruction following and "
sao10k/l3.3-euryale-70b,131072,16384,Sao10K: Llama 3.3 Euryale 70B,Euryale L3.3 70B is a model focused on creative roleplay from [Sao10k](https://ko-fi.com/sao10k). It
openai/o1,200000,100000,OpenAI: o1,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before"
cohere/command-r7b-12-2024,128000,4000,Cohere: Command R7B (12-2024),"Command R7B (12-2024) is a small, fast update of the Command R+ model, delivered in December 2024. I"
google/gemini-2.0-flash-exp:free,1048576,8192,Google: Gemini 2.0 Flash Experimental (free),Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 
meta-llama/llama-3.3-70b-instruct:free,131072,,Meta: Llama 3.3 70B Instruct (free),The Meta Llama 3.3 multilingual large language model (LLM) is a pretrained and instruction tuned gen
meta-llama/llama-3.3-70b-instruct,131072,16384,Meta: Llama 3.3 70B Instruct,The Meta Llama 3.3 multilingual large language model (LLM) is a pretrained and instruction tuned gen
amazon/nova-lite-v1,300000,5120,Amazon: Nova Lite 1.0,Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing
amazon/nova-micro-v1,128000,5120,Amazon: Nova Micro 1.0,Amazon Nova Micro 1.0 is a text-only model that delivers the lowest latency responses in the Amazon 
amazon/nova-pro-v1,300000,5120,Amazon: Nova Pro 1.0,Amazon Nova Pro 1.0 is a capable multimodal model from Amazon focused on providing a combination of 
openai/gpt-4o-2024-11-20,128000,16384,OpenAI: GPT-4o (2024-11-20),"The 2024-11-20 version of GPT-4o offers a leveled-up creative writing ability with more natural, eng"
mistralai/mistral-large-2411,131072,,Mistral Large 2411,Mistral Large 2 2411 is an update of [Mistral Large 2](/mistralai/mistral-large) released together w
mistralai/mistral-large-2407,131072,,Mistral Large 2407,"This is Mistral AI's flagship model, Mistral Large 2 (version mistral-large-2407). It's a proprietar"
mistralai/pixtral-large-2411,131072,,Mistral: Pixtral Large 2411,"Pixtral Large is a 124B parameter, open-weight, multimodal model built on top of [Mistral Large 2](/"
qwen/qwen-2.5-coder-32b-instruct:free,32768,,Qwen2.5 Coder 32B Instruct (free),Qwen2.5-Coder is the latest series of Code-Specific Qwen large language models (formerly known as Co
qwen/qwen-2.5-coder-32b-instruct,32768,32768,Qwen2.5 Coder 32B Instruct,Qwen2.5-Coder is the latest series of Code-Specific Qwen large language models (formerly known as Co
raifle/sorcererlm-8x22b,16000,,SorcererLM 8x22B,"SorcererLM is an advanced RP and storytelling model, built as a Low-rank 16-bit LoRA fine-tuned on ["
thedrummer/unslopnemo-12b,32768,,TheDrummer: UnslopNemo 12B,"UnslopNemo v4.1 is the latest addition from the creator of Rocinante, designed for adventure writing"
anthropic/claude-3.5-haiku-20241022,200000,8192,Anthropic: Claude 3.5 Haiku (2024-10-22),"Claude 3.5 Haiku features enhancements across all skill sets including coding, tool use, and reasoni"
anthropic/claude-3.5-haiku,200000,8192,Anthropic: Claude 3.5 Haiku,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engi"
anthropic/claude-3.5-sonnet,200000,8192,Anthropic: Claude 3.5 Sonnet,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same"
anthracite-org/magnum-v4-72b,16384,2048,Magnum v4 72B,"This is a series of models designed to replicate the prose quality of the Claude 3 models, specifica"
mistralai/ministral-3b,131072,,Mistral: Ministral 3B,Ministral 3B is a 3B parameter model optimized for on-device and edge computing. It excels in knowle
mistralai/ministral-8b,131072,,Mistral: Ministral 8B,Ministral 8B is an 8B parameter model featuring a unique interleaved sliding-window attention patter
qwen/qwen-2.5-7b-instruct,32768,,Qwen: Qwen2.5 7B Instruct,Qwen2.5 7B is the latest series of Qwen large language models. Qwen2.5 brings the following improvem
nvidia/llama-3.1-nemotron-70b-instruct,131072,16384,NVIDIA: Llama 3.1 Nemotron 70B Instruct,NVIDIA's Llama 3.1 Nemotron 70B is a language model designed for generating precise and useful respo
inflection/inflection-3-productivity,8000,1024,Inflection: Inflection 3 Productivity,Inflection 3 Productivity is optimized for following instructions. It is better for tasks requiring 
inflection/inflection-3-pi,8000,1024,Inflection: Inflection 3 Pi,"Inflection 3 Pi powers Inflection's [Pi](https://pi.ai) chatbot, including backstory, emotional inte"
thedrummer/rocinante-12b,32768,,TheDrummer: Rocinante 12B,"Rocinante 12B is designed for engaging storytelling and rich prose.

Early testers have reported:
- "
meta-llama/llama-3.2-90b-vision-instruct,32768,16384,Meta: Llama 3.2 90B Vision Instruct,"The Llama 90B Vision model is a top-tier, 90-billion-parameter multimodal model designed for the mos"
meta-llama/llama-3.2-1b-instruct,60000,,Meta: Llama 3.2 1B Instruct,Llama 3.2 1B is a 1-billion-parameter language model focused on efficiently performing natural langu
meta-llama/llama-3.2-3b-instruct:free,131072,,Meta: Llama 3.2 3B Instruct (free),"Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimized for advanced natu"
meta-llama/llama-3.2-3b-instruct,131072,16384,Meta: Llama 3.2 3B Instruct,"Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimized for advanced natu"
meta-llama/llama-3.2-11b-vision-instruct,131072,16384,Meta: Llama 3.2 11B Vision Instruct,"Llama 3.2 11B Vision is a multimodal model with 11 billion parameters, designed to handle tasks comb"
qwen/qwen-2.5-72b-instruct:free,32768,,Qwen2.5 72B Instruct (free),Qwen2.5 72B is the latest series of Qwen large language models. Qwen2.5 brings the following improve
qwen/qwen-2.5-72b-instruct,32768,32768,Qwen2.5 72B Instruct,Qwen2.5 72B is the latest series of Qwen large language models. Qwen2.5 brings the following improve
neversleep/llama-3.1-lumimaid-8b,32768,,NeverSleep: Lumimaid v0.2 8B,"Lumimaid v0.2 8B is a finetune of [Llama 3.1 8B](/models/meta-llama/llama-3.1-8b-instruct) with a ""H"
mistralai/pixtral-12b,32768,,Mistral: Pixtral 12B,"The first multi-modal, text+image-to-text model from Mistral AI. Its weights were launched via torre"
cohere/command-r-plus-08-2024,128000,4000,Cohere: Command R+ (08-2024),command-r-plus-08-2024 is an update of the [Command R+](/models/cohere/command-r-plus) with roughly 
cohere/command-r-08-2024,128000,4000,Cohere: Command R (08-2024),command-r-08-2024 is an update of the [Command R](/models/cohere/command-r) with improved performanc
sao10k/l3.1-euryale-70b,32768,,Sao10K: Llama 3.1 Euryale 70B v2.2,Euryale L3.1 70B v2.2 is a model focused on creative roleplay from [Sao10k](https://ko-fi.com/sao10k
qwen/qwen-2.5-vl-7b-instruct,32768,,Qwen: Qwen2.5-VL 7B Instruct,"Qwen2.5 VL 7B is a multimodal LLM from the Qwen Team with the following key enhancements:

- SoTA un"
microsoft/phi-3.5-mini-128k-instruct,128000,,Microsoft: Phi-3.5 Mini 128K Instruct,"Phi-3.5 models are lightweight, state-of-the-art open models. These models were trained with Phi-3 d"
nousresearch/hermes-3-llama-3.1-70b,65536,,Nous: Hermes 3 70B Instruct,Hermes 3 is a generalist language model with many improvements over [Hermes 2](/models/nousresearch/
nousresearch/hermes-3-llama-3.1-405b:free,131072,,Nous: Hermes 3 405B Instruct (free),"Hermes 3 is a generalist language model with many improvements over Hermes 2, including advanced age"
nousresearch/hermes-3-llama-3.1-405b,131072,16384,Nous: Hermes 3 405B Instruct,"Hermes 3 is a generalist language model with many improvements over Hermes 2, including advanced age"
openai/chatgpt-4o-latest,128000,16384,OpenAI: ChatGPT-4o,OpenAI ChatGPT 4o is continually updated by OpenAI to point to the current version of GPT-4o used by
sao10k/l3-lunaris-8b,8192,,Sao10K: Llama 3 8B Lunaris,Lunaris 8B is a versatile generalist and roleplaying model based on Llama 3. It's a strategic merge 
openai/gpt-4o-2024-08-06,128000,16384,OpenAI: GPT-4o (2024-08-06),"The 2024-08-06 version of GPT-4o offers improved performance in structured outputs, with the ability"
meta-llama/llama-3.1-405b,32768,32768,Meta: Llama 3.1 405B (base),Meta's latest class of model (Llama 3.1) launched with a variety of sizes & flavors. This is the bas
meta-llama/llama-3.1-70b-instruct,131072,,Meta: Llama 3.1 70B Instruct,Meta's latest class of model (Llama 3.1) launched with a variety of sizes & flavors. This 70B instru
meta-llama/llama-3.1-405b-instruct,130815,,Meta: Llama 3.1 405B Instruct,The highly anticipated 400B class of Llama3 is here! Clocking in at 128k context with impressive eva
meta-llama/llama-3.1-8b-instruct,131072,16384,Meta: Llama 3.1 8B Instruct,Meta's latest class of model (Llama 3.1) launched with a variety of sizes & flavors. This 8B instruc
mistralai/mistral-nemo:free,131072,128000,Mistral: Mistral Nemo (free),A 12B parameter model with a 128k token context length built by Mistral in collaboration with NVIDIA
mistralai/mistral-nemo,131072,16384,Mistral: Mistral Nemo,A 12B parameter model with a 128k token context length built by Mistral in collaboration with NVIDIA
openai/gpt-4o-mini-2024-07-18,128000,16384,OpenAI: GPT-4o-mini (2024-07-18),"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text"
openai/gpt-4o-mini,128000,16384,OpenAI: GPT-4o-mini,"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text"
google/gemma-2-27b-it,8192,,Google: Gemma 2 27B,Gemma 2 27B by Google is an open model built from the same research and technology used to create th
google/gemma-2-9b-it,8192,,Google: Gemma 2 9B,"Gemma 2 9B by Google is an advanced, open-source language model that sets a new standard for efficie"
sao10k/l3-euryale-70b,8192,8192,Sao10k: Llama 3 Euryale 70B v2.1,"Euryale 70B v2.1 is a model focused on creative roleplay from [Sao10k](https://ko-fi.com/sao10k).

-"
mistralai/mistral-7b-instruct-v0.3,32768,4096,Mistral: Mistral 7B Instruct v0.3,"A high-performing, industry-standard 7.3B parameter model, with optimizations for speed and context "
nousresearch/hermes-2-pro-llama-3-8b,8192,2048,NousResearch: Hermes 2 Pro - Llama-3 8B,"Hermes 2 Pro is an upgraded, retrained version of Nous Hermes 2, consisting of an updated and cleane"
mistralai/mistral-7b-instruct:free,32768,16384,Mistral: Mistral 7B Instruct (free),"A high-performing, industry-standard 7.3B parameter model, with optimizations for speed and context "
mistralai/mistral-7b-instruct,32768,16384,Mistral: Mistral 7B Instruct,"A high-performing, industry-standard 7.3B parameter model, with optimizations for speed and context "
microsoft/phi-3-mini-128k-instruct,128000,,Microsoft: Phi-3 Mini 128K Instruct,"Phi-3 Mini is a powerful 3.8B parameter model designed for advanced language understanding, reasonin"
microsoft/phi-3-medium-128k-instruct,128000,,Microsoft: Phi-3 Medium 128K Instruct,Phi-3 128K Medium is a powerful 14-billion parameter model designed for advanced language understand
openai/gpt-4o,128000,16384,OpenAI: GPT-4o,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text"
openai/gpt-4o:extended,128000,64000,OpenAI: GPT-4o (extended),"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text"
openai/gpt-4o-2024-05-13,128000,4096,OpenAI: GPT-4o (2024-05-13),"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text"
meta-llama/llama-guard-2-8b,8192,,Meta: LlamaGuard 2 8B,"This safeguard model has 8B parameters and is based on the Llama 3 family. Just like is predecessor,"
meta-llama/llama-3-70b-instruct,8192,16384,Meta: Llama 3 70B Instruct,Meta's latest class of model (Llama 3) launched with a variety of sizes & flavors. This 70B instruct
meta-llama/llama-3-8b-instruct,8192,16384,Meta: Llama 3 8B Instruct,Meta's latest class of model (Llama 3) launched with a variety of sizes & flavors. This 8B instruct-
mistralai/mixtral-8x22b-instruct,65536,,Mistral: Mixtral 8x22B Instruct,Mistral's official instruct fine-tuned version of [Mixtral 8x22B](/models/mistralai/mixtral-8x22b). 
microsoft/wizardlm-2-8x22b,65536,16384,WizardLM-2 8x22B,WizardLM-2 8x22B is Microsoft AI's most advanced Wizard model. It demonstrates highly competitive pe
openai/gpt-4-turbo,128000,4096,OpenAI: GPT-4 Turbo,The latest GPT-4 Turbo model with vision capabilities. Vision requests can now use JSON mode and fun
anthropic/claude-3-haiku,200000,4096,Anthropic: Claude 3 Haiku,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick "
anthropic/claude-3-opus,200000,4096,Anthropic: Claude 3 Opus,Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It boasts top-level perfo
mistralai/mistral-large,128000,,Mistral Large,"This is Mistral AI's flagship model, Mistral Large 2 (version `mistral-large-2407`). It's a propriet"
openai/gpt-4-turbo-preview,128000,4096,OpenAI: GPT-4 Turbo Preview,"The preview GPT-4 model with improved instruction following, JSON mode, reproducible outputs, parall"
openai/gpt-3.5-turbo-0613,4095,4096,OpenAI: GPT-3.5 Turbo (older v0613),"GPT-3.5 Turbo is OpenAI's fastest model. It can understand and generate natural language or code, an"
mistralai/mistral-small,32768,,Mistral Small,"With 22 billion parameters, Mistral Small v24.09 offers a convenient mid-point between (Mistral NeMo"
mistralai/mistral-tiny,32768,,Mistral Tiny,Note: This model is being deprecated. Recommended replacement is the newer [Ministral 8B](/mistral/m
mistralai/mistral-7b-instruct-v0.2,32768,,Mistral: Mistral 7B Instruct v0.2,"A high-performing, industry-standard 7.3B parameter model, with optimizations for speed and context "
mistralai/mixtral-8x7b-instruct,32768,16384,Mistral: Mixtral 8x7B Instruct,"Mixtral 8x7B Instruct is a pretrained generative Sparse Mixture of Experts, by Mistral AI, for chat "
neversleep/noromaid-20b,4096,,Noromaid 20B,"A collab between IkariDev and Undi. This merge is suitable for RP, ERP, and general knowledge.

#mer"
alpindale/goliath-120b,6144,1024,Goliath 120B,A large LLM created by combining two fine-tuned Llama 70B models into one 120B model. Combines Xwin 
openrouter/auto,2000000,,Auto Router,"Your prompt will be processed by a meta-model and routed to one of dozens of models (see below), opt"
openai/gpt-4-1106-preview,128000,4096,OpenAI: GPT-4 Turbo (older v1106),The latest GPT-4 Turbo model with vision capabilities. Vision requests can now use JSON mode and fun
mistralai/mistral-7b-instruct-v0.1,2824,,Mistral: Mistral 7B Instruct v0.1,"A 7.3B parameter model that outperforms Llama 2 13B on all benchmarks, with optimizations for speed "
openai/gpt-3.5-turbo-instruct,4095,4096,OpenAI: GPT-3.5 Turbo Instruct,This model is a variant of GPT-3.5 Turbo tuned for instructional prompts and omitting chat-related o
openai/gpt-3.5-turbo-16k,16385,4096,OpenAI: GPT-3.5 Turbo 16k,"This model offers four times the context length of gpt-3.5-turbo, allowing it to support approximate"
mancer/weaver,8000,2000,Mancer: Weaver (alpha),"An attempt to recreate Claude-style verbosity, but don't expect the same level of coherence or memor"
undi95/remm-slerp-l2-13b,6144,,ReMM SLERP 13B,A recreation trial of the original MythoMax-L2-B13 but with updated models. #merge
gryphe/mythomax-l2-13b,4096,,MythoMax 13B,"One of the highest performing and most popular fine-tunes of Llama 2 13B, with rich descriptions and"
